gene_name,gene_type
0610009B22RIK,GOAD_microglial
0610031J06RIK,GOAD_microglial
0610040J01RIK,GOAD_microglial
1500012F01RIK,GOAD_microglial
1700001K19RIK,GOAD_microglial
1700026D08RIK,GOAD_microglial
1810011O10RIK,GOAD_microglial
2010012O05RIK,GOAD_microglial
2010015L04RIK,GOAD_microglial
2010111I01RIK,GOAD_microglial
2310022B05RIK,GOAD_microglial
2410015M20RIK,GOAD_microglial
2510009E07RIK,GOAD_microglial
2900026A02RIK,GOAD_microglial
3110043O21RIK,GOAD_microglial
4833439L19RIK,GOAD_microglial
4930404N11RIK,GOAD_microglial
4930427A07RIK,GOAD_microglial
4930486L24RIK,GOAD_microglial
4931406P16RIK,GOAD_microglial
5031414D18RIK,GOAD_microglial
5430435G22RIK,GOAD_microglial
9530068E07RIK,GOAD_microglial
9630033F20RIK,GOAD_microglial
A430105I19RIK,GOAD_microglial
AB124611,GOAD_microglial
ABCA1,GOAD_microglial
ABCB1B,GOAD_microglial
ABCC3,GOAD_microglial
ABCC5,GOAD_microglial
ABCD2,GOAD_microglial
ABCF2,GOAD_microglial
ABCG1,GOAD_microglial
ABHD15,GOAD_microglial
ABI1,GOAD_microglial
ABI2,GOAD_microglial
ABL1,GOAD_microglial
ACAA2,GOAD_microglial
ACACA,GOAD_microglial
ACOT1,GOAD_microglial
ACOT10,GOAD_microglial
ACPP,GOAD_microglial
ACTB,GOAD_microglial
ACTG1,GOAD_microglial
ACTR3,GOAD_microglial
ACTR3B,GOAD_microglial
ACVR2B,GOAD_microglial
ACY1,GOAD_microglial
ADA,GOAD_microglial
ADAM17,GOAD_microglial
ADAM8,GOAD_microglial
ADAM9,GOAD_microglial
ADAMTS1,GOAD_microglial
ADAMTSL2,GOAD_microglial
ADAP1,GOAD_microglial
ADAP2,GOAD_microglial
ADARB1,GOAD_microglial
ADD3,GOAD_microglial
ADH5,GOAD_microglial
ADI1,GOAD_microglial
ADIPOR1,GOAD_microglial
ADM,GOAD_microglial
ADORA1,GOAD_microglial
ADRB2,GOAD_microglial
ADRBK1,GOAD_microglial
ADSSL1,GOAD_microglial
AEBP2,GOAD_microglial
AF529169,GOAD_microglial
AFAP1L1,GOAD_microglial
AGAP1,GOAD_microglial
AGPAT4,GOAD_microglial
AHCYL1,GOAD_microglial
AI607873,GOAD_microglial
AIG1,GOAD_microglial
AKAP5,GOAD_microglial
AKT3,GOAD_microglial
ALCAM,GOAD_microglial
ALDH3B1,GOAD_microglial
ALDOA,GOAD_microglial
ALDOC,GOAD_microglial
ALG10B,GOAD_microglial
ALKBH2,GOAD_microglial
ALOX5AP,GOAD_microglial
ANGPTL4,GOAD_microglial
ANGPTL7,GOAD_microglial
ANK,GOAD_microglial
ANKRD33B,GOAD_microglial
ANKRD37,GOAD_microglial
ANPEP,GOAD_microglial
ANTXR2,GOAD_microglial
ANXA2,GOAD_microglial
ANXA4,GOAD_microglial
ANXA5,GOAD_microglial
AOAH,GOAD_microglial
AP2B1,GOAD_microglial
APBB2,GOAD_microglial
APH1C,GOAD_microglial
API5,GOAD_microglial
APLP2,GOAD_microglial
APOC1,GOAD_microglial
APOC2,GOAD_microglial
APOC4,GOAD_microglial
APOE,GOAD_microglial
APOLD1,GOAD_microglial
ARAP2,GOAD_microglial
AREG,GOAD_microglial
ARHGAP12,GOAD_microglial
ARHGAP22,GOAD_microglial
ARHGAP24,GOAD_microglial
ARHGAP26,GOAD_microglial
ARHGAP4,GOAD_microglial
ARHGEF10L,GOAD_microglial
ARHGEF7,GOAD_microglial
ARID3A,GOAD_microglial
ARIH1,GOAD_microglial
ARIH2,GOAD_microglial
ARL11,GOAD_microglial
ARL5C,GOAD_microglial
ARL8B,GOAD_microglial
ARMC2,GOAD_microglial
ARMC3,GOAD_microglial
ARNT2,GOAD_microglial
ARPC2,GOAD_microglial
ARPC5,GOAD_microglial
ARRB1,GOAD_microglial
ARRDC4,GOAD_microglial
ASB10,GOAD_microglial
ASB11,GOAD_microglial
ASB15,GOAD_microglial
ASB2,GOAD_microglial
ASF1B,GOAD_microglial
ASNS,GOAD_microglial
ASPM,GOAD_microglial
ASXL1,GOAD_microglial
ATAD2,GOAD_microglial
ATF5,GOAD_microglial
ATG12,GOAD_microglial
ATG16L2,GOAD_microglial
ATG7,GOAD_microglial
ATG9A,GOAD_microglial
ATOX1,GOAD_microglial
ATP1A3,GOAD_microglial
ATP1B3,GOAD_microglial
ATP5B,GOAD_microglial
ATP6V0A2,GOAD_microglial
ATP6V0C,GOAD_microglial
ATP6V0D1,GOAD_microglial
ATP6V0D2,GOAD_microglial
ATP6V0E2,GOAD_microglial
ATP6V1A,GOAD_microglial
ATP6V1B2,GOAD_microglial
ATP6V1C1,GOAD_microglial
ATP6V1D,GOAD_microglial
ATP6V1G1,GOAD_microglial
ATP8A1,GOAD_microglial
ATP8A2,GOAD_microglial
ATXN10,GOAD_microglial
AVPI1,GOAD_microglial
AXL,GOAD_microglial
B2M,GOAD_microglial
B3GNTL1,GOAD_microglial
B4GALT4,GOAD_microglial
B4GALT5,GOAD_microglial
BAIAP2L2,GOAD_microglial
BANK1,GOAD_microglial
BBS10,GOAD_microglial
BBS9,GOAD_microglial
BC028528,GOAD_microglial
BCAN,GOAD_microglial
BCAR3,GOAD_microglial
BCL2,GOAD_microglial
BCL2A1A,GOAD_microglial
BCL2A1C,GOAD_microglial
BCL2A1D,GOAD_microglial
BCL3,GOAD_microglial
BCL6,GOAD_microglial
BHLHE40,GOAD_microglial
BIN1,GOAD_microglial
BMF,GOAD_microglial
BMP2K,GOAD_microglial
BNIP3,GOAD_microglial
BRCA1,GOAD_microglial
BRI3BP,GOAD_microglial
BSG,GOAD_microglial
BST1,GOAD_microglial
BST2,GOAD_microglial
BTBD3,GOAD_microglial
BTG2,GOAD_microglial
BTLA,GOAD_microglial
BUD31,GOAD_microglial
C1GALT1C1,GOAD_microglial
C1QBP,GOAD_microglial
C3AR1,GOAD_microglial
C77080,GOAD_microglial
CACNA1A,GOAD_microglial
CACNA1D,GOAD_microglial
CACNB2,GOAD_microglial
CACNB4,GOAD_microglial
CADM1,GOAD_microglial
CALM1,GOAD_microglial
CALM2,GOAD_microglial
CALM3,GOAD_microglial
CALR,GOAD_microglial
CAMK2N1,GOAD_microglial
CAMKK1,GOAD_microglial
CAMKV,GOAD_microglial
CAPG,GOAD_microglial
CAPNS1,GOAD_microglial
CAR13,GOAD_microglial
CARD11,GOAD_microglial
CASC5,GOAD_microglial
CASP8,GOAD_microglial
CAT,GOAD_microglial
CBR2,GOAD_microglial
CBX5,GOAD_microglial
CBX7,GOAD_microglial
CCDC125,GOAD_microglial
CCDC18,GOAD_microglial
CCDC28B,GOAD_microglial
CCDC50,GOAD_microglial
CCK,GOAD_microglial
CCL24,GOAD_microglial
CCL3,GOAD_microglial
CCL6,GOAD_microglial
CCL7,GOAD_microglial
CCL8,GOAD_microglial
CCNA2,GOAD_microglial
CCNB1,GOAD_microglial
CCNB2,GOAD_microglial
CCNG1,GOAD_microglial
CCNI,GOAD_microglial
CCNY,GOAD_microglial
CCR5,GOAD_microglial
CCR7,GOAD_microglial
CCRL2,GOAD_microglial
CCRN4L,GOAD_microglial
CCT3,GOAD_microglial
CD14,GOAD_microglial
CD164,GOAD_microglial
CD200R4,GOAD_microglial
CD209A,GOAD_microglial
CD209B,GOAD_microglial
CD209F,GOAD_microglial
CD209G,GOAD_microglial
CD22,GOAD_microglial
CD244,GOAD_microglial
CD274,GOAD_microglial
CD28,GOAD_microglial
CD300LB,GOAD_microglial
CD300LF,GOAD_microglial
CD33,GOAD_microglial
CD34,GOAD_microglial
CD3D,GOAD_microglial
CD44,GOAD_microglial
CD48,GOAD_microglial
CD5,GOAD_microglial
CD52,GOAD_microglial
CD63,GOAD_microglial
CD68,GOAD_microglial
CD69,GOAD_microglial
CD72,GOAD_microglial
CD74,GOAD_microglial
CD79B,GOAD_microglial
CD83,GOAD_microglial
CD84,GOAD_microglial
CD86,GOAD_microglial
CD9,GOAD_microglial
CD93,GOAD_microglial
CD99,GOAD_microglial
CDC42SE2,GOAD_microglial
CDK18,GOAD_microglial
CDKN1A,GOAD_microglial
CDKN2A,GOAD_microglial
CDS1,GOAD_microglial
CEBPD,GOAD_microglial
CENPE,GOAD_microglial
CENPF,GOAD_microglial
CEP68,GOAD_microglial
CFP,GOAD_microglial
CGN,GOAD_microglial
CH25H,GOAD_microglial
CHAF1B,GOAD_microglial
CHCHD10,GOAD_microglial
CHD9,GOAD_microglial
CHMP2A,GOAD_microglial
CHPT1,GOAD_microglial
CHST10,GOAD_microglial
CHST11,GOAD_microglial
CHST2,GOAD_microglial
CHST3,GOAD_microglial
CHST7,GOAD_microglial
CHST8,GOAD_microglial
CHSY1,GOAD_microglial
CIB1,GOAD_microglial
CISH,GOAD_microglial
CITED2,GOAD_microglial
CITED4,GOAD_microglial
CKB,GOAD_microglial
CLCN7,GOAD_microglial
CLDN11,GOAD_microglial
CLDN12,GOAD_microglial
CLEC10A,GOAD_microglial
CLEC1A,GOAD_microglial
CLEC2D,GOAD_microglial
CLEC4A1,GOAD_microglial
CLEC4A2,GOAD_microglial
CLEC4A3,GOAD_microglial
CLEC7A,GOAD_microglial
CLIC4,GOAD_microglial
CLN5,GOAD_microglial
CLN6,GOAD_microglial
CLPTM1,GOAD_microglial
CLTC,GOAD_microglial
CLU,GOAD_microglial
CMAS,GOAD_microglial
CMTM3,GOAD_microglial
CMTM6,GOAD_microglial
CMTM7,GOAD_microglial
CNDP2,GOAD_microglial
CNN3,GOAD_microglial
COL27A1,GOAD_microglial
COL9A2,GOAD_microglial
COL9A3,GOAD_microglial
COLEC12,GOAD_microglial
COPA,GOAD_microglial
COQ7,GOAD_microglial
CORO1C,GOAD_microglial
COTL1,GOAD_microglial
COX17,GOAD_microglial
COX4I1,GOAD_microglial
COX5B,GOAD_microglial
COX6A1,GOAD_microglial
COX6A2,GOAD_microglial
COX6C,GOAD_microglial
COX7A2L,GOAD_microglial
CPD,GOAD_microglial
CPEB1,GOAD_microglial
CPEB4,GOAD_microglial
CPNE3,GOAD_microglial
CPT1A,GOAD_microglial
CREB3L2,GOAD_microglial
CREG2,GOAD_microglial
CREM,GOAD_microglial
CRIP1,GOAD_microglial
CRLF2,GOAD_microglial
CRTAP,GOAD_microglial
CRYBA4,GOAD_microglial
CRYBB1,GOAD_microglial
CS,GOAD_microglial
CSF1,GOAD_microglial
CSF1R,GOAD_microglial
CSF2RA,GOAD_microglial
CSF2RB2,GOAD_microglial
CSMD3,GOAD_microglial
CSNK1G3,GOAD_microglial
CSNK2B,GOAD_microglial
CSPG4,GOAD_microglial
CSRNP1,GOAD_microglial
CST3,GOAD_microglial
CST7,GOAD_microglial
CSTB,GOAD_microglial
CTLA2A,GOAD_microglial
CTLA2B,GOAD_microglial
CTNNA1,GOAD_microglial
CTNND2,GOAD_microglial
CTSA,GOAD_microglial
CTSB,GOAD_microglial
CTSD,GOAD_microglial
CTSE,GOAD_microglial
CTSL,GOAD_microglial
CTSS,GOAD_microglial
CTSZ,GOAD_microglial
CX3CR1,GOAD_microglial
CXCL1,GOAD_microglial
CXCL10,GOAD_microglial
CXCL14,GOAD_microglial
CXCL16,GOAD_microglial
CXCL2,GOAD_microglial
CXCR4,GOAD_microglial
CYBA,GOAD_microglial
CYBB,GOAD_microglial
CYFIP2,GOAD_microglial
CYP4F18,GOAD_microglial
CYP4V3,GOAD_microglial
CYP51,GOAD_microglial
CYSLTR1,GOAD_microglial
CYTH4,GOAD_microglial
CYTIP,GOAD_microglial
D10WSU102E,GOAD_microglial
D16ERTD472E,GOAD_microglial
D330045A20RIK,GOAD_microglial
DAB2,GOAD_microglial
DACT1,GOAD_microglial
DAP,GOAD_microglial
DBP,GOAD_microglial
DDHD1,GOAD_microglial
DDIT4,GOAD_microglial
DDOST,GOAD_microglial
DDX26B,GOAD_microglial
DDX31,GOAD_microglial
DEGS1,GOAD_microglial
DERA,GOAD_microglial
DGKH,GOAD_microglial
DGKZ,GOAD_microglial
DHCR24,GOAD_microglial
DHCR7,GOAD_microglial
DHFR,GOAD_microglial
DHX32,GOAD_microglial
DIAP1,GOAD_microglial
DKK2,GOAD_microglial
DNAJB14,GOAD_microglial
DNASE1L1,GOAD_microglial
DNASE2A,GOAD_microglial
DOCK10,GOAD_microglial
DOCK4,GOAD_microglial
DOK3,GOAD_microglial
DOT1L,GOAD_microglial
DPP7,GOAD_microglial
DPY19L3,GOAD_microglial
DPYS,GOAD_microglial
DSCR3,GOAD_microglial
DTL,GOAD_microglial
DTNBP1,GOAD_microglial
DTX3,GOAD_microglial
DUOXA1,GOAD_microglial
DUSP27,GOAD_microglial
DUSP5,GOAD_microglial
DUSP7,GOAD_microglial
DYNLT3,GOAD_microglial
DYRK4,GOAD_microglial
E2F1,GOAD_microglial
E430025E21RIK,GOAD_microglial
EAF1,GOAD_microglial
ECHS1,GOAD_microglial
ECSCR,GOAD_microglial
EEA1,GOAD_microglial
EEF1A1,GOAD_microglial
EEF1B2,GOAD_microglial
EEF2,GOAD_microglial
EEF2K,GOAD_microglial
EEPD1,GOAD_microglial
EFEMP2,GOAD_microglial
EFNA5,GOAD_microglial
EFNB1,GOAD_microglial
EFR3B,GOAD_microglial
EGLN3,GOAD_microglial
EGR2,GOAD_microglial
EHD1,GOAD_microglial
EID1,GOAD_microglial
EIF1A,GOAD_microglial
EIF2S1,GOAD_microglial
EIF2S3X,GOAD_microglial
EIF3F,GOAD_microglial
EIF4B,GOAD_microglial
EIF4EBP1,GOAD_microglial
EIF6,GOAD_microglial
ELL2,GOAD_microglial
ELMO1,GOAD_microglial
ELOVL5,GOAD_microglial
ELOVL7,GOAD_microglial
EML2,GOAD_microglial
EMR1,GOAD_microglial
ENG,GOAD_microglial
ENO1,GOAD_microglial
ENPP1,GOAD_microglial
ENTPD1,GOAD_microglial
EPHA2,GOAD_microglial
EPHX1,GOAD_microglial
EPN2,GOAD_microglial
EPRS,GOAD_microglial
EPS8,GOAD_microglial
ERCC6,GOAD_microglial
ERGIC3,GOAD_microglial
ERO1L,GOAD_microglial
ETL4,GOAD_microglial
ETS1,GOAD_microglial
ETS2,GOAD_microglial
ETV4,GOAD_microglial
ETV5,GOAD_microglial
EVI2A,GOAD_microglial
EXOSC2,GOAD_microglial
EYA4,GOAD_microglial
F13A1,GOAD_microglial
F2R,GOAD_microglial
F3,GOAD_microglial
FABP3,GOAD_microglial
FABP5,GOAD_microglial
FAM102B,GOAD_microglial
FAM105A,GOAD_microglial
FAM129B,GOAD_microglial
FAM132A,GOAD_microglial
FAM162A,GOAD_microglial
FAM20C,GOAD_microglial
FAM72A,GOAD_microglial
FASTKD3,GOAD_microglial
FBLIM1,GOAD_microglial
FBXL16,GOAD_microglial
FBXO33,GOAD_microglial
FBXW11,GOAD_microglial
FCGR1,GOAD_microglial
FCGR4,GOAD_microglial
FCHSD2,GOAD_microglial
FDPS,GOAD_microglial
FDXR,GOAD_microglial
FEM1B,GOAD_microglial
FEZ2,GOAD_microglial
FGD2,GOAD_microglial
FGF1,GOAD_microglial
FGF13,GOAD_microglial
FGL2,GOAD_microglial
FGR,GOAD_microglial
FKBP1A,GOAD_microglial
FKBP1B,GOAD_microglial
FKBP9,GOAD_microglial
FLCN,GOAD_microglial
FLNA,GOAD_microglial
FLT1,GOAD_microglial
FMN1,GOAD_microglial
FN1,GOAD_microglial
FNDC3A,GOAD_microglial
FNDC3B,GOAD_microglial
FNDC4,GOAD_microglial
FNIP1,GOAD_microglial
FNIP2,GOAD_microglial
FOSL2,GOAD_microglial
FOXN2,GOAD_microglial
FRMD4A,GOAD_microglial
FRMD4B,GOAD_microglial
FTH1,GOAD_microglial
FUCA1,GOAD_microglial
FUCA2,GOAD_microglial
FUNDC2,GOAD_microglial
FXYD5,GOAD_microglial
FXYD6,GOAD_microglial
FYN,GOAD_microglial
FZD5,GOAD_microglial
G6PC3,GOAD_microglial
G6PD2,GOAD_microglial
G6PDX,GOAD_microglial
GAA,GOAD_microglial
GAB1,GOAD_microglial
GABBR1,GOAD_microglial
GADD45A,GOAD_microglial
GAL3ST4,GOAD_microglial
GALC,GOAD_microglial
GALK2,GOAD_microglial
GALNT6,GOAD_microglial
GALNT7,GOAD_microglial
GAPDH,GOAD_microglial
GARNL3,GOAD_microglial
GAS2L3,GOAD_microglial
GAS7,GOAD_microglial
GATAD1,GOAD_microglial
GATM,GOAD_microglial
GBA,GOAD_microglial
GCA,GOAD_microglial
GCH1,GOAD_microglial
GCN1L1,GOAD_microglial
GCNT1,GOAD_microglial
GCNT2,GOAD_microglial
GDF15,GOAD_microglial
GDF9,GOAD_microglial
GEM,GOAD_microglial
GFM2,GOAD_microglial
GGA2,GOAD_microglial
GGCT,GOAD_microglial
GGH,GOAD_microglial
GGT5,GOAD_microglial
GGTA1,GOAD_microglial
GHITM,GOAD_microglial
GHR,GOAD_microglial
GIMAP1,GOAD_microglial
GIMAP6,GOAD_microglial
GJB6,GOAD_microglial
GKN1,GOAD_microglial
GLA,GOAD_microglial
GLB1,GOAD_microglial
GLIPR1,GOAD_microglial
GLRX,GOAD_microglial
GLT25D1,GOAD_microglial
GLUL,GOAD_microglial
GM11545,GOAD_microglial
GM1673,GOAD_microglial
GM2A,GOAD_microglial
GMFB,GOAD_microglial
GNA15,GOAD_microglial
GNAI3,GOAD_microglial
GNB2L1,GOAD_microglial
GNG12,GOAD_microglial
GNPTAB,GOAD_microglial
GOLM1,GOAD_microglial
GOLPH3,GOAD_microglial
GOLT1B,GOAD_microglial
GOT1,GOAD_microglial
GP49A,GOAD_microglial
GP9,GOAD_microglial
GPD1,GOAD_microglial
GPD2,GOAD_microglial
GPHA2,GOAD_microglial
GPI1,GOAD_microglial
GPNMB,GOAD_microglial
GPR132,GOAD_microglial
GPR137B,GOAD_microglial
GPR162,GOAD_microglial
GPR183,GOAD_microglial
GPR56,GOAD_microglial
GPR65,GOAD_microglial
GPR84,GOAD_microglial
GPRASP2,GOAD_microglial
GPX3,GOAD_microglial
GPX4,GOAD_microglial
GRAMD1A,GOAD_microglial
GRAMD1B,GOAD_microglial
GRAMD3,GOAD_microglial
GRAP,GOAD_microglial
GRASP,GOAD_microglial
GRHL1,GOAD_microglial
GRIFIN,GOAD_microglial
GRN,GOAD_microglial
GRRP1,GOAD_microglial
GSN,GOAD_microglial
GSTM5,GOAD_microglial
GSTO1,GOAD_microglial
GTF2H1,GOAD_microglial
GTF2H2,GOAD_microglial
GTF3C4,GOAD_microglial
GUSB,GOAD_microglial
GVIN1,GOAD_microglial
GYG,GOAD_microglial
GYK,GOAD_microglial
H1F0,GOAD_microglial
H2-AA,GOAD_microglial
H2-AB1,GOAD_microglial
H2-D1,GOAD_microglial
H2-K1,GOAD_microglial
H2-M3,GOAD_microglial
H2-Q2,GOAD_microglial
H2-Q6,GOAD_microglial
H2-Q7,GOAD_microglial
H2-T10,GOAD_microglial
H2AFX,GOAD_microglial
HAAO,GOAD_microglial
HBEGF,GOAD_microglial
HCCS,GOAD_microglial
HCK,GOAD_microglial
HCST,GOAD_microglial
HDAC9,GOAD_microglial
HECTD2,GOAD_microglial
HELZ,GOAD_microglial
HES1,GOAD_microglial
HEXA,GOAD_microglial
HEY1,GOAD_microglial
HGF,GOAD_microglial
HIF1A,GOAD_microglial
HIGD1A,GOAD_microglial
HIGD2A,GOAD_microglial
HIST1H1C,GOAD_microglial
HIST1H1D,GOAD_microglial
HIST1H1E,GOAD_microglial
HIST2H2AA1,GOAD_microglial
HIVEP2,GOAD_microglial
HLF,GOAD_microglial
HMGCS1,GOAD_microglial
HMGN3,GOAD_microglial
HMHA1,GOAD_microglial
HMMR,GOAD_microglial
HPS3,GOAD_microglial
HPSE,GOAD_microglial
HSD17B12,GOAD_microglial
HSPA12A,GOAD_microglial
HSPA1A,GOAD_microglial
HSPA9,GOAD_microglial
HSPD1,GOAD_microglial
HTATIP2,GOAD_microglial
HTRA1,GOAD_microglial
HTRA3,GOAD_microglial
I830077J02RIK,GOAD_microglial
IARS2,GOAD_microglial
ID3,GOAD_microglial
IDH1,GOAD_microglial
IDH2,GOAD_microglial
IDI1,GOAD_microglial
IER2,GOAD_microglial
IER3,GOAD_microglial
IER5L,GOAD_microglial
IFI204,GOAD_microglial
IFI205,GOAD_microglial
IFI27L2A,GOAD_microglial
IFI30,GOAD_microglial
IFIT2,GOAD_microglial
IFIT3,GOAD_microglial
IFITM2,GOAD_microglial
IFITM3,GOAD_microglial
IFNG,GOAD_microglial
IFNGR1,GOAD_microglial
IGF1,GOAD_microglial
IGF2R,GOAD_microglial
IGFBP5,GOAD_microglial
IGFBP6,GOAD_microglial
IGSF6,GOAD_microglial
IL10RA,GOAD_microglial
IL12B,GOAD_microglial
IL12RB2,GOAD_microglial
IL16,GOAD_microglial
IL18BP,GOAD_microglial
IL1A,GOAD_microglial
IL1B,GOAD_microglial
IL1R1,GOAD_microglial
IL1RN,GOAD_microglial
IL23A,GOAD_microglial
IL2RG,GOAD_microglial
IL3RA,GOAD_microglial
IL4I1,GOAD_microglial
IL6RA,GOAD_microglial
IL7R,GOAD_microglial
IMPACT,GOAD_microglial
IMPDH1,GOAD_microglial
INF2,GOAD_microglial
INPP5D,GOAD_microglial
IQGAP1,GOAD_microglial
IQGAP3,GOAD_microglial
IRAK3,GOAD_microglial
IRF4,GOAD_microglial
IRF7,GOAD_microglial
IRG1,GOAD_microglial
IRGM2,GOAD_microglial
ISG15,GOAD_microglial
ISOC1,GOAD_microglial
ITGA4,GOAD_microglial
ITGA5,GOAD_microglial
ITGA9,GOAD_microglial
ITGAL,GOAD_microglial
ITGAX,GOAD_microglial
